Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
3f390547346d5f4ed455c9155fcde6d3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	587	0	0	0	0	0	0
7a3c80b91d73fd69a142ef8aa1c029d9	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	581	0	0	0	0	0	0	0	0	0	0	0
61b2143a8e41320e410c97bdacb90cc9	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	575	0	0	0	0	0	0	0	0
31bb766decb33256c981be311cba6282	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unassigned	39	418	0	0	45	0	0	0	0	0	0	24	43	0
c8a5442f99eed831e0d4976ea20de87b	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	566	0	0	0	0	0	0	0	0
241d19925d697acb862069162eaad530	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	560	0	0	0	0	0	0	0	0
a4a22fe1df4b192a73b360bf40a66e16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	267	0	0	0	0	293	0
5d015bc63da585dfaad2a8b0bf02279a	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	556	0	0	0	0	0	0
84f08d239a9421f0ba8ecb556dbbc7bf	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	554	0	0	0	0	0	0
d361802f73a6ca421745cebac395ffc9	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	0	0	0	0	0	0	0	552	0	0	0	0	0	0
80e3b8e7989801ffe088b1eaaaaab7d2	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	363	0	186	0	0	0	0	0	0
158d96f2781dbf6a51ebea8ffa385e7d	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	545	0	0	0	0	0	0
1264c4cb36091295cb5e2836db18e899	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	540	0
b88451b0babd24eb93dab4b4e63b1995	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	527	0	0	0	0	0	0
3ff2c5e82b3ff9df6be3b976e79bc3fc	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	524	0	0	0	0	0	0	0	0
57be2c0bf3ba8fa509effef98c93083c	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0	0	0	517	0	0	0	0	0	0	0	0	0
5c3e2621cd6ea78e61c830976880e83b	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	349	0	162	0	0	0	0	0	0
2664c85e90c17c6ee42c06ae33d04924	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	403	0	99	0	0	0	0	0	0
